Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
Wallenstam AB (publ) (OM:WALL B),OM:WALL B,Real Estate (Operations & Services),0.5519,1.0981,"USD 2 563,10","USD 2 536,40","USD 22,90",0.45,56.55,49.74,130.17,98.96,"USD 15,15",1.19,40.25,36.09,4.23,8.66,0,10.59,37.33,35.5,1.14,20.98,1.3,16.4,35.5,3.65,4.99,-27.5,3.25,19.62,3.35,130.68,55.26,0,"USD 295,90","USD 321,60","USD 133,70","USD 136,00","USD 242,00","USD 246,10","USD 143,00","USD 143,00","USD 136,00","-USD 60,40","USD 47,90","USD 101,50",109.85,"-USD 13,40","USD 232,60","USD 172,20","USD 1 639,00","USD 4 063,90","USD 1 948,60","USD 4 462,10","-USD 33,20",0.58,0.62,0.5,0.02,0.06,"USD 96,11","USD 166,04"
Nordnet AB (publ) (OM:NN B),OM:NN B,Brokerage & Investment Banking,0.3452,0.3567,"USD 708,80","USD 27,40","USD 142,40",19.34,10.16,3.72,11.31,3.87,"USD 4,05",1.76,36.06,62.47,0,24.44,0,4.59,136.19,0,4.67,3.84,2.69,12.6,12.2,-3.83,1.53,0,5.48,15.67,3.7,21.76,2.73,13.9,"USD 29,00","USD 34,80","USD 0,00","USD 4,36","USD 154,50","USD 159,90","USD 0,00","USD 0,00","USD 3,75","USD 0,00","USD 0,00","USD 260,38",6935.8,"-USD 256,63","-USD 225,58","-USD 225,58","USD 222,10","USD 117,90","USD 242,20","USD 127,20","-USD 19,10",0.9,0.84,0.5,0,0.04,0,"USD 24,05"
AB Sagax (OM:SAGA A),OM:SAGA A,Real Estate (Operations & Services),0.5519,1.3593,"USD 605,80","USD 1 124,80","USD 37,10",2.14,67.2,64.99,204.92,185.67,"USD 4,17",0.26,3.16,90.92,2.25,10.61,0,4.55,12.34,15.45,1.03,12.71,1.38,43.6,14.8,17.8,17,0,10.1,28.99,9.85,64.69,85.45,21.21,"USD 57,10","USD 103,90","USD 135,20","USD 137,23","USD 133,20","USD 160,60","USD 109,60","USD 0,00","USD 108,12","-USD 25,00","USD 7,36","USD 188,03",180.71,"-USD 87,27","-USD 66,49","-USD 91,49","USD 358,40","USD 1 393,00","USD 548,90","USD 1 636,60","-USD 8,35",0.12,0.16,0.5,0.08,0.11,"USD 49,20","USD 26,34"
Catella AB (publ) (OM:CAT B),OM:CAT B,Investment Co.,0.5825,0.7968,"USD 88,50","USD 65,10","USD 298,00",194.01,31.59,42.38,46.17,73.56,"USD 1,08",1.29,31.62,56.76,0.72,0,0,0.59,-13.6,-28.48,0,-0.97,0,0,0,125.2,-28.1,0,6.24,-0.47,0,-0.41,7.02,50,"-USD 2,15","-USD 0,62","USD 1,56","USD 10,62","USD 149,10","USD 151,20","USD 5,07","USD 4,51","USD 5,31","USD 0,31","-USD 48,30","-USD 5,61",-1015.25,"USD 59,22","USD 52,98","USD 53,29","USD 133,40","-USD 124,20","USD 141,00","-USD 91,90","USD 0,00",0.72,0.5,0.5,0.15,0.18,"-USD 0,38","USD 0,53"
FastPartner AB (OM:FPAR),OM:FPAR,Real Estate (Operations & Services),0.5519,1.4093,"USD 605,80","USD 941,10","USD 47,20",3.05,67.81,60.84,210.68,155.35,"USD 11,41",0.69,13.42,43.42,2.11,12.39,0,6.14,20.62,25.77,1.12,15.19,3.75,-8.2,0,20.4,11.6,0,17.5,17.2,7.24,51.21,65.12,0,"USD 48,90","USD 57,20","USD 69,30","USD 72,74","USD 98,70","USD 111,70","USD 58,20","USD 69,30","USD 72,74","-USD 167,40","USD 2,05","USD 333,10",460.75,"-USD 262,41","-USD 110,55","-USD 277,95","USD 332,50","USD 1 005,20","USD 446,70","USD 1 340,60","-USD 22,70",0.23,0.57,0.5,0.04,0.08,"USD 33,78","USD 31,65"
Avanza Bank Holding AB (publ) (OM:AZA),OM:AZA,Brokerage & Investment Banking,0.3452,0.348,"USD 939,90","USD 0,00","USD 1 286,20",135.54,7.29,0.95,7.86,0.96,"USD 32,55",1.96,49.7,56.84,0,38.21,0,9.76,-996.08,0,0,-3.5,3.83,-14.1,-4.34,-1.52,1.1,0,0,21.68,0,26.51,0.34,15.53,"USD 24,60","USD 26,30","USD 0,00","USD 0,34","USD 96,30","USD 99,20","USD 0,00","USD 0,00","USD 0,29","USD 0,00","USD 0,00","-USD 1,09",-380.08,"USD 1,37","USD 27,39","USD 27,39","USD 121,30","-USD 1 140,64","USD 115,20","-USD 1 161,94","-USD 36,00",1.13,0.67,0.5,0,0.05,0,"USD 25,58"
Corem Property Group AB (publ) (OM:CORE),OM:CORE,Real Estate (Operations & Services),0.5519,2.1056,"USD 236,40","USD 764,50","USD 24,80",2.48,67.76,76.38,210.2,323.39,"USD 3,12",0.38,10.95,37.43,1.73,8.79,1.42,2.59,13.35,14.55,0.88,10.68,2.44,8.71,0,11.3,0,6.2,3.6,17.19,7.28,54.88,75.13,12.95,"USD 26,90","USD 53,40","USD 71,10","USD 73,10","USD 91,40","USD 97,30","USD 67,10","USD 71,30","USD 63,63","-USD 59,30","USD 7,94","USD 61,85",109.68,"-USD 6,16","USD 42,91","-USD 16,39","USD 310,60","USD 1 004,30","USD 363,70","USD 1 103,40","-USD 5,76",0.16,0.25,0.5,0,0,0,0
Tribona AB (OM:TRI),OM:TRI,Real Estate (Operations & Services),0.5519,1.583,"USD 238,30","USD 541,30","USD 63,00",8.08,64.3,69.43,180.13,227.15,"USD 6,12",0,0,0,2.06,8.42,0,3.19,11.43,11.43,0.92,9.58,2.03,-13.8,0,6,4.86,0,2.44,8.85,6.98,29.47,82.5,17.76,"USD 28,30","USD 22,40","USD 62,70","USD 62,70","USD 74,80","USD 76,00","USD 62,70","USD 0,00","USD 51,57","USD 140,90","USD 0,00","-USD 128,31",-248.83,"USD 179,88","USD 9,81","USD 150,71","USD 253,20","USD 897,90","USD 300,50","USD 778,80","-USD 4,83",0,0,0.5,0,0,0,0
ALM equity AB (OM:ALM),OM:ALM,Real Estate (Development),0.3103,0.5187,"USD 106,00","USD 72,60","USD 14,70",8.23,55.5,40.65,124.74,68.49,"USD 10,44",-0.38,5.48,0,3.09,14.04,0,1.65,15.32,16.07,1.41,2.55,0,40,72.5,57.1,17.8,0,0,13.86,10.12,12.21,17.23,1.92,"USD 7,55","USD 7,58","USD 10,70","USD 10,70","USD 64,20","USD 62,10","USD 10,20","USD 10,70","USD 10,49","-USD 0,58","-USD 6,28","USD 0,15",-58.44,"USD 16,63","USD 14,29","USD 13,71","USD 54,70","USD 105,70","USD 58,20","USD 116,10","USD 0,00",-0.17,-0.23,0.5,0,0,0,0
SBC Sveriges Bostadsrätts Centrum AB (NGM:SBC),NGM:SBC,Real Estate,0.7008,0.7008,"USD 91,80","USD 0,00","USD 14,40",15.69,0,0,0,0,"USD 6,69",0.11,7.07,44.55,176.33,31.01,0,2.42,8.65,13.21,9.21,2.04,0,0,0,-9.35,-6.03,0,0,28.17,102.52,12.71,23.07,44.29,"USD 2,96","USD 4,93","USD 8,64","USD 8,95","USD 37,90","USD 38,80","USD 5,86","USD 8,88","USD 4,99","USD 0,00","USD 0,05","-USD 2,41",-47.4,"USD 7,35","USD 7,29","USD 7,29","USD 17,50","USD 8,73","USD 22,80","USD 8,40","USD 0,00",0.13,-0.09,0.5,0.09,0.14,"USD 3,82","-USD 1,21"
HEBA Fastighets AB (publ) (OM:HEBA B),OM:HEBA B,Real Estate (Operations & Services),0.5519,0.7946,"USD 482,20","USD 212,00","USD 0,53",0.08,33.66,30.54,50.73,43.97,"USD 11,68",0.54,23.45,24.84,6.45,9.61,0,13.58,33.56,37.29,1.1,19.54,1.46,13.2,20.6,2.73,4.83,0,0,13.34,3.77,128.61,54.25,0,"USD 50,20","USD 49,00","USD 20,20","USD 20,67","USD 35,50","USD 38,10","USD 18,60","USD 20,40","USD 20,67","-USD 29,38","USD 0,00","USD 31,21",150.99,"-USD 10,54","USD 47,17","USD 17,79","USD 367,30","USD 548,42","USD 417,90","USD 629,37","-USD 7,06",0.23,0.34,0.5,0.02,0.06,"USD 13,74","USD 27,86"
Mangold Fondkommission AB (OM:MANG),OM:MANG,Brokerage & Investment Banking,0.3452,0.4175,"USD 10,90","USD 0,00","USD 0,00",0,28.07,21.41,39.03,27.25,"USD 24,53",0.65,0,0,0,11.19,0,0.72,195.53,0,1.31,0.91,5,0,0,0,0,0,0,13.08,7.71,5.97,0.46,23.08,"USD 0,97","USD 0,93","USD 0,00","USD 0,07","USD 15,20","USD 15,50","USD 0,00","USD 0,00","USD 0,05","USD 0,00","USD 2,03","USD 0,03",3777.38,"-USD 2,01","-USD 1,14","-USD 1,14","USD 7,07","USD 0,92","USD 7,61","USD 10,58","-USD 0,55",-0.01,0,0.5,0,0.08,0,"USD 0,44"
Insplanet AB (publ) (OM:IPL),OM:IPL,Insurance (General),0.7925,0.7925,"USD 10,20","USD 0,00","USD 3,95",38.73,0,0,0,0,"USD 0,97",0.7,6.32,88.94,138.8,8.16,0,0.82,5.67,3.17,0,0.5,8.03,-40.6,-7.12,-4.49,8.64,0,0,11.19,0,3.71,9.85,34.18,"USD 1,25","USD 0,42","USD 0,69","USD 1,10","USD 12,40","USD 11,20","USD 1,97","USD 0,79","USD 0,73","USD 0,03","-USD 0,03","-USD 0,17",-27.27,"USD 0,92","USD 0,58","USD 0,61","USD 3,71","-USD 0,54","USD 3,31","-USD 0,91","-USD 0,82",0.23,0.6,0.5,0.07,0.06,"USD 1,56","USD 1,23"
Victoria Park I Malmo AB (OM:VICP),OM:VICP,Real Estate (Operations & Services),0.5519,0.9441,"USD 181,30","USD 159,40","USD 17,30",5.08,58.37,46.79,140.19,87.92,"USD 3,58",0.22,3.16,125.7,0,19.62,0,4.77,0,86.01,1.26,8.51,0,0,135.5,-19.4,-12.8,0,0,205.63,-5.9,365,-9.68,19.19,"USD 9,24","USD 43,80","-USD 1,19","-USD 1,16","USD 38,00","USD 12,00","USD 3,76","-USD 0,96","-USD 0,94","-USD 154,38","-USD 9,14","USD 175,16",0,"-USD 166,96","USD 32,16","-USD 122,22","USD 21,30","USD 19,71","USD 113,70","USD 255,80","USD 0,00",0.16,0,0.5,0,0,0,0
Havsfrun Investment AB (OM:HAV B),OM:HAV B,Investment Co.,0.5825,0.5825,"USD 33,40","USD 0,00","USD 2,98",8.92,0,0,0,0,"USD 2,76",0.41,12.65,35.77,24.62,26.3,0,14.15,13.28,30.12,0.72,12.89,8.47,143.2,0,36.9,0,0,0,4.68,5.8,55.53,60.26,0,"USD 1,27","USD 2,11","USD 2,29","USD 2,29","USD 2,36","USD 3,80","USD 1,01","USD 2,30","USD 2,29","USD 0,00","USD 2,26","-USD 0,01",98.12,"USD 0,04","-USD 0,14","-USD 0,14","USD 45,10","USD 39,46","USD 45,50","USD 42,52","-USD 2,83",0.18,0.25,0.5,0.16,0.16,"-USD 0,07","USD 3,33"
Thenberg & Kinde Fondkommission AB (OM:THK B),OM:THK B,Brokerage & Investment Banking,0.3452,0.3465,"USD 7,30","USD 0,03","USD 0,76",10.4,2,0.4,2.04,0.4,"USD 0,04",0.63,13.78,0,0,0,0,6.03,26.16,0,9.56,5.43,0,0,0,-10.3,0,0,0,-60.16,34.34,-46.34,15.59,0,"-USD 1,41","-USD 0,75","USD 0,00","USD 0,25","USD 1,21","USD 1,61","USD 0,00","USD 0,00","USD 0,25","-USD 0,16","USD 0,00","USD 0,01",2.79,"USD 0,24","-USD 0,60","-USD 0,75","USD 1,24","USD 0,73","USD 1,42","USD 0,69","USD 0,00",0,-0.02,0.5,0,0,0,0
HQ AB (OM:HQ),OM:HQ,Brokerage & Investment Banking,0.3452,0.3452,"USD 13,00","USD 0,00","USD 2,80",21.54,0,0,0,0,"USD 0,06",0.96,3.16,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-164.04,0,0,0,0,"-USD 5,22","-USD 3,74","USD 0,00","USD 0,00","-USD 1,69","-USD 1,56","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 19,80",0,"-USD 19,80","-USD 23,54","-USD 23,54","USD 2,28","USD 18,24","USD 2,18","-USD 0,62","USD 0,00",0.27,0.91,0.5,0,0.17,0,"USD 0,95"
Platzer Fastigheter Holding AB (publ) (OM:PLAZ B),OM:PLAZ B,Real Estate (Operations & Services),0.5519,1.3365,"USD 388,80","USD 651,80","USD 25,40",2.44,67.96,62.64,212.11,167.64,"USD 4,21",0,0,0,2.05,16.07,0,6.59,21.11,25.57,1.09,17.21,1.42,0,0,0,0,0,0,0,0,57.58,67.56,15.21,"USD 24,20","USD 41,00","USD 48,10","USD 48,10","USD 59,00","USD 71,20","USD 39,70","USD 48,20","USD 40,79","-USD 14,90","USD 0,53","USD 36,90",91.77,"USD 3,36","USD 18,47","USD 3,57","USD 0,00","USD 0,00","USD 307,30","USD 933,70","-USD 5,51",0,0,0.5,0,0,0,0
Nordea Bank AB (publ) (OM:NDA SEK),OM:NDA SEK,Bank,0.4029,2.4081,"USD 54 253,90","USD 352 768,50","USD 48 212,80",11.82,90.12,86.7,912.66,651.88,"USD 13,50",2.12,71.41,38.51,0,13.19,1.5,4.42,0,0,1.05,29.33,3.42,10.9,2.02,6.49,3.15,8.82,1.36,12.23,-0.04,33.84,-1.42,23.66,"USD 4 112,30","USD 4 308,00","USD 0,00","-USD 180,90","USD 12 265,80","USD 12 729,20","USD 0,00","USD 0,00","-USD 138,10","USD 1 521,30","USD 0,00","-USD 912,20",0,"USD 774,10","USD 3 698,90","USD 5 220,20","USD 35 232,80","USD 434 512,72","USD 38 752,10","USD 344 212,32","-USD 1 854,20",1.1,0.98,0.5,0,0.02,0,"USD 3 421,22"
Diös Fastigheter AB (publ) (OM:DIOS),OM:DIOS,Real Estate (Operations & Services),0.5519,1.766,"USD 530,80","USD 1 202,50","USD 15,10",0.87,71.01,69.38,244.91,226.54,"USD 7,10",0.69,27.39,28.3,3.18,8.07,0,2.6,15.98,15.78,1.02,8.4,5.05,71.6,0,40.1,22.5,-9.8,0.54,17.69,6.6,36.73,52.36,2.9,"USD 65,80","USD 75,40","USD 107,50","USD 107,50","USD 204,50","USD 205,30","USD 108,90","USD 107,90","USD 104,38","USD 39,30","-USD 20,20","USD 28,59",8.03,"USD 96,00","USD 27,72","USD 67,02","USD 426,30","USD 1 628,10","USD 491,00","USD 1 678,40","-USD 26,80",0.31,0.41,0.5,0,0,0,0
Delarka Holding AB (OM:DELARK),OM:DELARK,Real Estate (Operations & Services),0.5519,0.5519,"USD 88,00","USD 0,00","USD 0,00",0,0,0,0,0,"USD 17,60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00",0,"USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00",0,0,0.5,0,0,0,0
AB Volvo (OM:VOLV B),OM:VOLV B,Heavy Construction,0.9513,1.5802,"USD 26 674,60","USD 21 806,90","USD 3 233,10",6.61,65.28,45.48,188.02,83.43,"USD 13,15",2.11,60.17,46.12,3.5,15.73,1.04,0.57,34.59,11.94,1.48,0.98,3.55,-12.3,-24.4,2.52,-2.76,15.2,-3.15,4.59,4.32,1.4,3.14,20.77,"USD 1 695,40","USD 591,40","USD 1 235,60","USD 1 321,23","USD 46 633,90","USD 42 129,50","USD 3 828,10","USD 1 867,90","USD 1 046,80","-USD 2 580,30","USD 373,00","USD 4 181,30",435.07,"-USD 3 507,50","-USD 1 382,60","-USD 3 962,90","USD 12 887,60","USD 30 594,96","USD 11 836,80","USD 30 859,46","-USD 947,00",1.11,0.94,0.5,0.07,0.08,"USD 2 117,73","USD 1 296,14"
Skanska AB (publ) (OM:SKA B),OM:SKA B,Engineering,0.8572,1.0205,"USD 8 421,90","USD 1 864,80","USD 541,90",5.12,40.38,20.38,67.72,25.59,"USD 20,47",1.7,60.33,34.52,16.16,19.22,2.03,0.42,14.86,14.41,2.48,0.51,4.57,-0.2,-3.92,3.22,-1.3,9.45,2.66,20.15,18.75,2.68,3.24,25.57,"USD 438,20","USD 558,60","USD 664,00","USD 675,29","USD 19 865,50","USD 20 859,60","USD 696,30","USD 904,60","USD 502,65","-USD 734,80","USD 1 388,00","USD 396,62",355.04,"-USD 1 281,97","-USD 491,22","-USD 1 226,02","USD 2 772,70","USD 3 601,14","USD 3 182,90","USD 4 043,94","-USD 384,70",0.83,0.88,0.5,0.02,0.04,"USD 616,76","USD 564,04"
Scania AB (publ) (OM:SCV B),OM:SCV B,Heavy Construction,0.9513,1.2821,"USD 15 444,50","USD 6 782,30","USD 1 452,50",6.45,56.3,31.37,128.85,45.72,"USD 19,61",1.98,57.1,45.54,48.6,15.13,2.16,1.26,16.88,13.31,1.9,1.72,3.83,-3.98,-9.46,4.39,-1.51,7,5.65,18.59,12.4,7.28,9.51,23.94,"USD 1 020,70","USD 954,40","USD 1 219,90","USD 1 247,03","USD 12 225,40","USD 13 108,80","USD 1 582,30","USD 1 594,30","USD 948,51","-USD 817,60","USD 222,00","USD 1 633,51",195.62,"-USD 907,00","-USD 83,51","-USD 901,11","USD 5 132,70","USD 10 055,25","USD 5 479,80","USD 11 087,95","-USD 591,60",1.04,0.9,0.5,0.04,0.05,"USD 1 239,13","USD 888,65"
Atlas Copco AB (OM:ATCO A),OM:ATCO A,Machinery,1.014,1.1116,"USD 32 775,50","USD 3 958,40","USD 2 499,50",6.76,42.88,11.39,75.07,12.86,"USD 27,77",1.83,59.5,42.44,17.69,15.35,3.46,2.36,12.26,10.46,4.71,2.48,3.17,13,7.84,8.73,3.47,4.44,-0.81,41.05,40.78,14.72,21.16,25.17,"USD 2 134,90","USD 1 955,90","USD 2 740,20","USD 2 812,23","USD 13 904,00","USD 13 290,00","USD 3 296,90","USD 3 086,40","USD 2 104,47","-USD 654,00","USD 110,60","USD 694,90",38.28,"USD 1 298,97","USD 1 804,40","USD 1 150,40","USD 4 764,30","USD 6 895,44","USD 5 614,60","USD 7 329,84","-USD 1 038,00",1.01,0.72,0.5,0.05,0.05,"USD 1 639,83","USD 1 304,28"
Securitas AB (OM:SECU B),OM:SECU B,Business & Consumer Services,0.7667,1.0965,"USD 3 886,30","USD 2 053,10","USD 425,20",6.77,63.84,38.08,176.56,61.51,"USD 10,65",1.32,43.36,41.4,5.83,20.88,1.71,0.38,11.29,9.6,5.2,0.57,4.39,-11.4,-2.46,2.6,7.75,12.2,1.11,17.89,43.85,2.23,5.07,30.07,"USD 186,10","USD 227,90","USD 464,30","USD 518,26","USD 10 206,60","USD 10 231,90","USD 609,60","USD 643,20","USD 362,40","USD 408,10","-USD 56,40","USD 178,50",33.69,"USD 240,30","-USD 302,30","USD 105,80","USD 1 273,90","USD 1 181,80","USD 1 353,80","USD 1 125,80","-USD 170,50",0.72,0.55,0.5,0.01,0.04,"USD 442,59","USD 244,00"
AB SKF (OM:SKF B),OM:SKF B,Machinery,1.014,1.1879,"USD 11 964,00","USD 2 556,00","USD 0,00",0,43.88,18.96,78.19,23.39,"USD 26,28",1.62,54.04,40.81,13.39,16.49,1.24,1.21,13.99,10.77,2.73,1.49,3.24,-2.23,-3.79,1.46,0.01,13.3,3.59,20.52,21.63,6.47,10.91,26.69,"USD 725,50","USD 626,10","USD 1 017,30","USD 1 055,54","USD 9 917,40","USD 9 675,40","USD 1 370,80","USD 1 301,30","USD 773,78","USD 99,50","-USD 116,60","USD 456,70",43.95,"USD 433,68","USD 186,50","USD 286,00","USD 3 050,50","USD 4 879,21","USD 3 579,60","USD 5 408,41","-USD 387,20",0.88,0.67,0.5,0.04,0.04,"USD 886,05","USD 569,76"
NCC AB (OM:NCC B),OM:NCC B,Engineering,0.8572,1.2795,"USD 3 523,90","USD 1 814,90","USD 221,40",4,63.6,36.31,174.73,57,"USD 32,69",1.82,52.63,43.75,7.57,12.11,1.86,0.4,12.7,11.22,2,0.6,4.77,9.83,0.59,3.72,-0.86,6.5,1.79,24.54,16.39,3.35,4.81,13.58,"USD 290,90","USD 291,40","USD 382,80","USD 418,27","USD 8 788,90","USD 8 689,60","USD 473,30","USD 476,40","USD 361,47","-USD 589,70","USD 496,30","USD 150,29",178.88,"-USD 285,12","USD 234,51","-USD 355,19","USD 1 187,40","USD 2 552,66","USD 1 149,50","USD 2 658,66","-USD 168,10",0.92,0.88,0.5,0.03,0.05,"USD 299,75","USD 198,81"
Assa Abloy AB (OM:ASSA B),OM:ASSA B,Building Materials,0.8065,0.891,"USD 19 595,90","USD 2 542,20","USD 96,40",0.43,38.9,12.22,63.67,13.92,"USD 52,92",1.35,51.77,34.14,12.34,24.96,2.23,2.74,18.78,17.7,9.16,3.1,1.57,18.9,10.9,9.69,6.8,11.2,6.34,21.9,54.37,11.25,16.01,24.71,"USD 785,10","USD 831,60","USD 1 149,20","USD 1 183,52","USD 7 159,70","USD 7 391,20","USD 1 256,00","USD 1 303,60","USD 891,03","USD 1,60","USD 33,32","USD 496,20",59.43,"USD 361,51","USD 300,48","USD 302,08","USD 3 797,50","USD 2 176,79","USD 4 285,30","USD 2 427,69","-USD 307,90",0.71,0.62,0.5,0.03,0.05,"USD 685,17","USD 407,91"
Peab AB (OM:PEAB B),OM:PEAB B,Engineering,0.8572,1.6571,"USD 1 807,80","USD 1 558,20","USD 130,50",3.73,59.71,48.27,148.19,93.31,"USD 6,13",1.92,56.04,43.41,0.74,16.14,1.01,0.25,42.17,11.69,1.25,0.47,5.34,-41.8,-26.3,7.25,5.13,16,-2.65,3.01,2.86,0.51,1.16,0,"USD 112,00","USD 35,30","USD 45,10","USD 79,77","USD 7 193,60","USD 6 862,60","USD 287,70","USD 179,00","USD 79,77","USD 135,90","USD 281,30","-USD 99,70",227.65,"-USD 101,83","-USD 282,20","-USD 146,30","USD 1 174,30","USD 2 790,13","USD 1 138,30","USD 2 694,63","-USD 96,50",0.97,0.93,0.5,0.04,0.04,"USD 147,81","USD 122,22"
SAS AB (OM:SAS),OM:SAS,Air Transport,0.5966,1.2245,"USD 845,50","USD 1 779,60","USD 734,60",27.98,50.9,67.79,103.66,210.48,"USD 2,57",2.92,34.79,111.4,1.7,30.75,0,0.13,3.51,3.64,0.68,0.29,0,0,0,0,0,0,1.54,1.64,19.17,0.42,8.26,50,"USD 27,50","USD 27,50","USD 262,70","USD 538,80","USD 6 521,90","USD 6 521,90","USD 519,00","USD 519,00","USD 269,40","-USD 181,10","USD 0,00","USD 33,90",12.58,"USD 235,50","USD 174,70","-USD 6,40","USD 1 681,80","USD 2 810,80","USD 1 716,70","USD 2 761,70","USD 0,00",1.55,1.28,0.5,0.13,0.12,"USD 11,67","-USD 152,76"
Alfa Laval AB (publ) (OM:ALFA),OM:ALFA,Machinery,1.014,1.085,"USD 10 779,70","USD 844,70","USD 213,00",1.81,30.42,8.53,43.71,9.32,"USD 25,70",1.8,58.82,45.05,14.67,22,3.61,2.35,16.96,14.09,3.74,2.53,2.12,2.79,-5.05,6.85,1.74,6.09,2.37,21.68,23.06,10.39,14.91,24.95,"USD 489,90","USD 475,60","USD 664,40","USD 682,41","USD 4 578,70","USD 4 577,90","USD 821,30","USD 819,50","USD 512,18","USD 51,70","-USD 19,30","USD 331,60",60.97,"USD 199,88","USD 111,60","USD 163,30","USD 2 193,80","USD 2 959,76","USD 2 299,60","USD 3 091,76","-USD 228,50",1.06,0.57,0.5,0.05,0.05,"USD 504,06","USD 335,77"
SAAB AB (publ.) (OM:SAAB B),OM:SAAB B,Aerospace/Defense,0.9095,1.0699,"USD 2 855,20","USD 274,00","USD 101,00",2.93,24.2,17.13,31.92,20.67,"USD 26,87",1.37,30.17,57.18,207.71,11.89,0,0.77,17.2,9.78,2.06,0.91,2.6,10.2,-7.81,-0.52,0.7,-0.8,1.17,7.52,10.6,4.16,5.25,14.65,"USD 240,20","USD 153,80","USD 161,60","USD 194,46","USD 3 687,40","USD 3 701,50","USD 341,90","USD 249,40","USD 165,96","-USD 14,29","USD 94,50","-USD 78,20",9.82,"USD 149,66","USD 151,79","USD 137,50","USD 2 046,50","USD 1 835,22","USD 1 849,00","USD 1 624,12","-USD 74,30",0.69,0.68,0.5,0.04,0.06,"USD 211,07","USD 162,49"
Trelleborg AB (OM:TREL B),OM:TREL B,Machinery,1.014,1.1784,"USD 5 400,00","USD 1 161,70","USD 128,30",1.94,35.54,18.5,55.14,22.7,"USD 19,92",2.29,58.48,47.45,12.01,17.22,1.1,1.65,16.66,14.21,1.96,1.99,2.34,15,16.2,-6.23,-7.64,15.6,-4.2,11.2,12.04,7.09,11.76,28.55,"USD 313,60","USD 234,90","USD 383,00","USD 389,91","USD 3 265,40","USD 3 315,00","USD 457,40","USD 487,60","USD 278,61","USD 39,70","USD 0,80","USD 235,21",84.71,"USD 42,60","-USD 40,81","-USD 1,11","USD 2 098,00","USD 3 238,97","USD 2 222,70","USD 3 320,07","-USD 126,60",1.11,1.21,0.5,0.03,0.07,"USD 245,17","USD 146,11"
Loomis AB (OM:LOOM B),OM:LOOM B,Business & Consumer Services,0.7667,0.95,"USD 1 785,20","USD 423,30","USD 60,40",2.52,49.96,25.41,99.83,34.07,"USD 23,75",0.56,21.45,33.8,19.39,17.89,2.98,1.02,12.8,8.75,3.62,1.34,2.95,14,0,0.2,0.52,6,1.79,23.12,31.79,6.74,10.37,29.84,"USD 99,80","USD 118,50","USD 169,10","USD 182,31","USD 1 744,70","USD 1 757,30","USD 266,60","USD 289,10","USD 127,91","USD 26,46","-USD 2,34","USD 99,34",75.84,"USD 30,91","-USD 4,96","USD 21,50","USD 512,60","USD 573,55","USD 609,30","USD 644,05","-USD 52,60",0.29,0.26,0.5,0,0,0,0
NIBE Industrier AB (publ) (OM:NIBE B),OM:NIBE B,Building Materials,0.8065,0.9983,"USD 2 490,00","USD 732,70","USD 170,70",5.24,49.06,23.56,96.31,30.83,"USD 22,58",1.14,42.07,41.83,16.22,21.17,1.62,1.76,19.02,14.98,2.21,2.19,1.38,18.8,20.4,15.3,11,13.1,6.13,17.89,12.32,8.49,11.03,22.85,"USD 117,60","USD 124,90","USD 155,10","USD 162,32","USD 1 411,70","USD 1 471,70","USD 206,10","USD 214,10","USD 125,22","USD 80,40","-USD 25,21","USD 109,10",66.99,"USD 41,33","-USD 39,39","USD 41,01","USD 698,20","USD 1 317,01","USD 797,00","USD 1 393,91","-USD 34,30",0.7,0.29,0.5,0.05,0.05,"USD 78,33","USD 58,88"
