Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
LifeAssays AB (publ) (NGM:LIFE B),NGM:LIFE B,Healthcare Services,0.7017,0.7017,"USD 3,12","USD 0,00","USD 0,33",10.48,0,0,0,0,"USD 0,12",3.77,3.16,150,0,0,0,9.84,0,0,3.81,8.81,0,0,0,23.6,0,0,0,-132.46,-316.25,-704.74,-704.74,0,"-USD 2,62","-USD 2,53","-USD 2,53","-USD 2,53","USD 0,32","USD 0,36","-USD 2,50","-USD 2,42","-USD 2,53","USD 0,00","-USD 0,05","-USD 0,01",0,"-USD 2,46","-USD 2,46","-USD 2,46","USD 1,91","USD 0,80","USD 1,06","USD 0,73","USD 0,00",0.51,4.67,0.5,0.06,0.06,"-USD 1,21","-USD 1,20"
Swede Resources AB (OM:SERS B),OM:SERS B,Oil/Gas (Production and Exploration),0.7389,1.0778,"USD 1,91","USD 0,88","USD 0,12",4.2,26.74,31.44,36.5,45.86,"USD 0,11",2.39,18.71,150,0,0,0,4.84,0,0,0.84,6.76,0,0,0,-5.35,0,0,0,-23.53,-26.24,-197.21,-225.14,0,"-USD 0,74","-USD 0,71","-USD 0,81","-USD 0,81","USD 0,40","USD 0,36","-USD 0,40","-USD 0,60","-USD 0,81","-USD 0,80","-USD 0,03","USD 0,09",0,"-USD 0,87","USD 0,03","-USD 0,77","USD 3,00","USD 3,07","USD 2,40","USD 3,16","USD 0,00",1.2,1.18,0.5,0.11,0.13,"-USD 0,27","-USD 0,22"
Star Vault AB (OM:STVA B),OM:STVA B,Computer Software,1.0246,1.0266,"USD 4,01","USD 0,01","USD 0,05",1.27,1.14,0.2,1.15,0.2,"USD 0,11",0.92,4.47,150,0,0,0,11.79,0,0,6.08,11.67,0,0,0,-26.8,0,0,0,-45.8,-45.54,-125.93,-122.22,0,"-USD 0,45","-USD 0,44","-USD 0,43","-USD 0,43","USD 0,34","USD 0,35","-USD 0,42","-USD 0,42","-USD 0,43","USD 0,02","-USD 0,01","USD 0,00",0,"-USD 0,42","-USD 0,45","-USD 0,44","USD 0,97","USD 0,94","USD 0,70","USD 0,65","USD 0,00",0.8,-0.21,0.5,0,0,0,0
Arctic Gold AB (publ) (OM:ARCT),OM:ARCT,Metals & Mining,1.0289,1.0289,"USD 1,39","USD 0,00","USD 0,43",31.01,0,0,0,0,"USD 0,09",1.69,11.83,0,0,0,0,1.89,0,0,0.11,1.31,0,0,0,-21.8,0,0,0,-8.12,-8.36,-267.42,-257.3,0,"-USD 0,74","-USD 0,71","-USD 0,72","-USD 0,69","USD 0,73","USD 0,27","-USD 0,74","-USD 0,69","-USD 0,69","USD 0,00","USD 0,11","USD 0,16",0,"-USD 0,95","-USD 0,98","-USD 0,98","USD 8,79","USD 8,22","USD 9,06","USD 8,63","USD 0,00",0,0.77,0.5,0,0,0,0
LYYN AB (OM:LYYN),OM:LYYN,Electronics,1.0714,1.0714,"USD 2,71","USD 0,00","USD 0,37",13.58,0,0,0,0,"USD 0,05",0.52,15.17,0,0,0,0,6.64,0,0,25.46,5.74,0,0,0,-32.8,0,0,0,-640.37,-3772.22,-300.86,-292.67,0,"-USD 0,35","-USD 0,70","-USD 0,68","-USD 0,68","USD 0,41","USD 0,23","-USD 0,34","-USD 0,65","-USD 0,68","USD 0,00","USD 0,00","-USD 0,08",0,"-USD 0,60","-USD 0,62","-USD 0,62","USD 0,11","USD 0,02","USD 0,46","USD 0,09","USD 0,00",0,-0.1,0.5,0,0,0,0
Conpharm AB (publ) (OM:CONP B),OM:CONP B,Pharma & Drugs,0.8303,2.3364,"USD 1,88","USD 3,41","USD 0,07",1.32,80.33,64.46,408.38,181.38,"USD 0,11",-0.49,4.47,0,0,0,0,15.16,0,0,1.25,42.1,0,0,0,-12.2,-4.83,0,0,-15.22,-17.26,-65.18,-45.54,0,"-USD 0,10","-USD 0,15","-USD 0,10","-USD 0,10","USD 0,12","USD 0,22","USD 0,00","USD 0,00","-USD 0,10","-USD 3,41","USD 0,14","USD 4,71",0,"-USD 4,95","-USD 1,59","-USD 5,00","USD 0,96","USD 0,59","USD 0,84","USD 4,18","USD 0,00",-0.46,0.2,0.5,0.11,0.14,"USD 0,03","USD 0,01"
ECOMB AB,-,Machinery,1.014,1.0988,"USD 1,77","USD 0,15","USD 0,19",10.11,0,7.72,0,8.36,"USD 0,33",1.31,5.48,150,0,0,0,5.55,0,0,0,5.4,0,0,0,0,0,0,0,-133.26,-542.5,-313.79,-320.69,0,"-USD 0,68","-USD 0,64","-USD 0,65","-USD 0,65","USD 0,32","USD 0,20","-USD 0,69","-USD 0,65","-USD 0,65","USD 0,00","USD 0,00","USD 0,00",0,"-USD 0,65","-USD 0,64","-USD 0,64","USD 0,48","USD 0,12","-USD 0,15","-USD 0,19","USD 0,00",0.48,0,0.5,0,0,0,0
EcoRub AB (OM:ECO),OM:ECO,Chemical (Basic),0.9245,0.9645,"USD 1,85","USD 0,08","USD 0,01",0.47,24.02,4.15,31.62,4.32,"USD 0,33",1.8,3.16,150,0,0,0,8.53,0,0,6.16,8.85,0,0,0,-41.1,0,0,0,-41.28,-16.21,-103.74,-60.43,0,"-USD 0,22","-USD 0,19","-USD 0,11","-USD 0,11","USD 0,22","USD 0,19","-USD 0,05","-USD 0,06","-USD 0,11","USD 0,00","USD 0,00","-USD 0,05",0,"-USD 0,07","-USD 0,15","-USD 0,15","USD 0,47","USD 0,70","USD 0,25","USD 0,31","USD 0,00",1.55,-0.42,0.5,0,0,0,0
Rubicon Life Science AB (Publ) (OM:RLS),OM:RLS,Biotechnology,1.0292,1.0292,"USD 4,59","USD 0,00","USD 0,31",6.84,0,0,0,0,"USD 0,22",0.33,3.16,0,0,0,0,0,0,0,4.88,42.34,0,0,0,0,0,0,0,-124.29,-162.63,-1041.92,-1005.99,0,"-USD 1,21","-USD 1,74","-USD 1,68","-USD 1,68","USD 0,10","USD 0,17","-USD 1,10","-USD 1,61","-USD 1,68","USD 0,00","USD 0,00","-USD 0,07",0,"-USD 1,62","-USD 1,68","-USD 1,68","USD 1,40","USD 1,03","USD 1,19","USD 0,88","USD 0,00",-0.25,0,0.5,0,0,0,0
European Institute of Science AB (OM:EURI B),OM:EURI B,Biotechnology,1.0292,1.2923,"USD 0,71","USD 0,18","USD 0,09",10.18,19.51,20.36,24.23,25.56,"USD 0,10",2.59,5.48,150,0,0,0,2.67,0,38.24,0.95,3.01,0,0,0,-1.04,-25.9,0,0,44.92,-16.9,130.86,-58.64,0,"-USD 0,02","USD 0,21","-USD 0,10","-USD 0,10","USD 0,27","USD 0,16","USD 0,02","-USD 0,10","-USD 0,10","USD 0,01","-USD 0,01","-USD 0,05",0,"-USD 0,03","USD 0,26","USD 0,27","USD 0,47","USD 0,56","USD 0,75","USD 0,84","USD 0,00",1.26,1.37,0.5,0.13,0.11,"-USD 0,03","-USD 0,13"
Community Entertainment Svenska AB (publ) (OM:CEAB),OM:CEAB,Computer Software,1.0246,1.0246,"USD 3,02","USD 0,00","USD 0,09",2.85,0,0,0,0,"USD 0,02",3.61,18.97,150,0,0,0,34.32,0,0,7.09,33.34,0,0,0,3.45,0,0,0,-143.7,-134.65,-360,-323.16,0,"-USD 0,34","-USD 0,34","-USD 0,31","-USD 0,31","USD 0,09","USD 0,10","-USD 0,24","-USD 0,30","-USD 0,31","-USD 0,15","-USD 0,08","USD 0,32",0,"-USD 0,55","-USD 0,44","-USD 0,59","USD 0,24","USD 0,23","USD 0,50","USD 0,41","USD 0,00",2.65,0.08,0.5,0,0,0,0
Caucasus Oil AB (OM:CAOI),OM:CAOI,Oil/Gas (Production and Exploration),0.7389,0.7389,"USD 0,74","USD 0,00","USD 0,01",1.75,0,0,0,0,"USD 0,06",1.12,0,0,0,0,0,4.83,0,0,1.44,4.75,0,0,0,14.6,0,0,0,-14.26,-16,-89.36,-89.36,0,"-USD 0,05","-USD 0,08","-USD 0,08","-USD 0,08","USD 0,15","USD 0,09","-USD 0,02","-USD 0,06","-USD 0,08","USD 0,00","-USD 0,01","USD 0,01",0,"-USD 0,09","-USD 0,09","-USD 0,09","USD 0,59","USD 0,53","USD 0,52","USD 0,51","USD 0,00",0.02,1.65,0.5,0,0,0,0
Challenger Mobile AB (OM:CHAL B),OM:CHAL B,Telecom. Services,0.5675,0.8435,"USD 1,99","USD 0,97","USD 0,02",0.68,0,32.72,0,48.64,"USD 0,04",3.07,10.49,150,0,0,0,22.11,0,0,0,32.64,0,0,0,-30,0,0,0,0,0,-945.59,-930.88,0,"-USD 0,77","-USD 0,64","-USD 0,63","-USD 0,63","USD 0,09","USD 0,07","-USD 0,73","-USD 0,54","-USD 0,63","USD 0,00","USD 0,00","-USD 0,12",0,"-USD 0,51","-USD 0,52","-USD 0,52","-USD 0,97","-USD 0,97","-USD 1,00","-USD 0,05","USD 0,00",1.8,0,0.5,0,0,0,0
Archelon Mineral AB (publ) (OM:ARCH B),OM:ARCH B,Metals & Mining,1.0289,1.0289,"USD 0,91","USD 0,00","USD 0,36",39.78,0,0,0,0,"USD 0,01",0.9,14.14,135.59,0,0,0,18.2,0,0,0.74,10.96,0,0,0,3.42,-38.1,0,0,-17.39,-85.53,-803.45,-2813.79,0,"-USD 0,56","-USD 0,23","-USD 0,82","-USD 0,82","USD 0,05","USD 0,03","-USD 0,79","-USD 0,81","-USD 0,82","-USD 0,62","-USD 0,17","-USD 0,59",0,"-USD 0,06","USD 1,15","USD 0,53","USD 1,34","USD 0,95","USD 1,10","USD 0,74","USD 0,00",0.77,-0.2,0.5,0,0,0,0
